OTU	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	baseSum	proportionMean	proportionSum	Kingdom	Phylum	Class	Order	Family	Genus
Otu3746	1.62449757908216	2.29847648871194	1.1189570197643	2.05412401737833	0.039963690049943	0.190919652870173	57548.3702877186	0.00282283854600979	100	Bacteria	Patescibacteria	Parcubacteria	Candidatus Staskawiczbacteria	NA	NA
Otu3526	14.7115391554295	2.29613359565512	0.476109244757635	4.82270323657331	1.41625604553707e-06	0.000167118213373374	57548.3702877186	0.0255637806629063	100	Bacteria	Elusimicrobia	Lineage IIa	NA	NA	NA
Otu1725	3.71170205570718	2.2952544511188	0.746919432331609	3.07296122147184	0.00211946027760024	0.0277884791952032	57548.3702877186	0.0064497083708021	100	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella
Otu319	22.565915857702	2.29377939549892	0.864255156993687	2.65405346666121	0.0079531224028599	0.0670334602526763	57548.3702877186	0.039212084972835	100	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	uncultured bacterium
Otu3248	1.60206717276528	2.29293181176938	1.03443421916063	2.21660475774858	0.0266501121746142	0.15012565744833	57548.3702877186	0.00278386193172037	100	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS 17	NA
Otu3161	0.723638579414877	2.28160435361522	1.37356062449308	1.66108747799702	0.0966958789969202	NA	57548.3702877186	0.00125744408711659	100	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	cvE6	NA
Otu7317	0.998211001777738	2.2679365137723	1.24523778933128	1.82128789633845	0.0685631053403454	NA	57548.3702877186	0.00173455998282329	100	Bacteria	Verrucomicrobia	Verrucomicrobiae	NA	NA	NA
Otu3373	2.85933231290025	2.25811822301485	1.2189462356917	1.85251667128162	0.0639516658647788	0.253231428592077	57548.3702877186	0.00496857217433741	100	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia
Otu1327	6.26194926541508	2.24613264479329	1.05509572207242	2.12884252850673	NA	NA	57548.3702877186	0.0108811930452728	100	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	NA
Otu1369	1.36553042267061	2.24114176290692	1.29996362660985	1.72400343904356	0.0847072223272468	NA	57548.3702877186	0.00237283943201781	100	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured	NA
Otu2231	1.83017909035121	2.23926240764399	1.31645135087388	1.70098378960798	0.0889460311926417	0.306387044040673	57548.3702877186	0.00318024486393108	100	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
Otu2674	1.30832295332505	2.22355240777311	1.17801085549061	1.88754831707138	0.0590866140253171	NA	57548.3702877186	0.00227343180490422	100	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	NA	NA
Otu1357	5.36992491826727	2.21829919204015	0.68011828545737	3.26163733496502	0.00110770760817504	0.0185511833569477	57548.3702877186	0.00933115028526405	100	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Bryobacter
Otu1981	3.16116009772897	2.21799179303262	1.15331342983903	1.92314745987324	0.054461533427824	0.231167659873498	57548.3702877186	0.00549304885946283	100	Bacteria	Patescibacteria	Parcubacteria	Candidatus Jorgensenbacteria	Candidatus Adlerbacteria bacterium GW2011_GWC1_50_9	Candidatus Adlerbacteria bacterium GW2011_GWC1_50_9
Otu7480	1.04228843804812	2.20949742510333	1.19735622611443	1.84531334695057	0.0649919700464177	NA	57548.3702877186	0.00181115196283943	100	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured
Otu489	11.5577305242359	2.20911243664335	0.7557415404219	2.92310574248716	0.00346558801388651	0.0400920966312361	57548.3702877186	0.0200835062165129	100	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
Otu3270	1.38800568708616	2.20711585637174	1.26837795132116	1.74010897467335	0.0818398846754658	NA	57548.3702877186	0.00241189399481983	100	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	NA
Otu1688	14.9160195327297	2.19611029809756	0.884145430869068	2.48387903327047	0.0129959946477618	0.0915538727424415	57548.3702877186	0.0259190998079626	100	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
Otu6965	2.12696250318136	2.19552396813668	1.09058120772929	2.01316871460494	0.0440968833052811	0.201593773793825	57548.3702877186	0.00369595610187988	100	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	uncultured bacterium
Otu2515	3.92499767457605	2.19353993548288	1.28844638213692	1.70246893149317	0.0886674977563243	0.306376712598719	57548.3702877186	0.00682034548494188	100	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA
Otu1270	6.80400985723078	2.1850187519527	0.764174176456192	2.85932032156018	0.00424549849531939	0.0447293591471151	57548.3702877186	0.0118231147523613	100	Bacteria	Cyanobacteria	Melainabacteria	Obscuribacterales	NA	NA
Otu1930	4.16895069919637	2.17074066604689	0.785479517174217	2.76358659721158	0.00571699199868743	0.0552954963807473	57548.3702877186	0.00724425501252823	100	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Singulisphaera
Otu5108	0.866550493098728	2.17046936468836	1.35739630158819	1.59899460618013	0.109821801094108	NA	57548.3702877186	0.00150577764194942	100	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
Otu2275	2.01483376862516	2.12968755251199	1.13917365569014	1.8695021095987	0.0615529904115012	0.246276349097309	57548.3702877186	0.00350111351294886	100	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	Gemmata
Otu5568	1.11058886730928	2.12761481680631	1.2787932636513	1.66376761379818	0.0961588783781221	NA	57548.3702877186	0.00192983547884463	100	Bacteria	Patescibacteria	Parcubacteria	Candidatus Jorgensenbacteria	NA	NA
Otu2767	1.54317148802131	2.08661170483086	1.02105528388359	2.04358347463266	0.0409947131911706	0.193972426134748	57548.3702877186	0.00268152074560249	100	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	uncultured
Otu295	21.2058972409848	2.08210576447342	0.91054484646291	2.28665921570095	0.022215721976782	0.133407388969989	57548.3702877186	0.036848823233332	100	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	uncultured
Otu2422	6.1874425412992	2.06944937215828	0.796521377418502	2.59810901606344	0.00937387285985256	0.0742354711715611	57548.3702877186	0.0107517250451481	100	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	NA
Otu2181	2.30303182318209	2.05537624664519	1.05519638806703	1.94786133641942	0.0514315571722849	0.222712798030445	57548.3702877186	0.00400190624281427	100	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	mle1-27	NA
Otu1703	2.13353953558979	2.04906693785275	1.19371619216386	1.71654447791178	0.0860624345843341	0.303827717515119	57548.3702877186	0.00370738480503088	100	Bacteria	Cyanobacteria	Melainabacteria	Vampirovibrionales	uncultured bacterium	uncultured bacterium
Otu7943	1.10843374047615	2.0429477770861	1.19079436225636	1.71561760942087	0.086232053344769	NA	57548.3702877186	0.00192609058246902	100	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Inquilinaceae	Inquilinus
Otu5064	1.25545918246188	2.04178764900006	1.13437009701908	1.79993077600116	0.071871569398192	NA	57548.3702877186	0.002181572086551	100	Bacteria	Actinobacteria	Actinobacteria	Frankiales	NA	NA
Otu2785	1.2995192412486	2.03850391628845	1.32869438671481	1.53421579610089	0.124976572840078	NA	57548.3702877186	0.00225813387025824	100	Bacteria	Dependentiae	Babeliae	Babeliales	NA	NA
Otu2193	1.62302546630742	2.02765020352678	1.10472825141689	1.83542894003676	0.0664421589810432	0.260470922251266	57548.3702877186	0.0028202805017639	100	Bacteria	Cyanobacteria	Melainabacteria	Obscuribacterales	Ambiguous_taxa	Ambiguous_taxa
Otu369	9.69413419897501	2.0212762678553	0.638037654665804	3.16795764807019	0.00153513882145186	0.0223637507322617	57548.3702877186	0.0168451932704754	100	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa
Otu1908	2.60949471825546	2.02086030192638	0.896760772686382	2.25351104048919	0.0242269453982386	0.141844069431252	57548.3702877186	0.00453443721378909	100	Bacteria	Chloroflexi	NA	NA	NA	NA
Otu1901	1.71596485257702	2.01483144937572	1.22096947331598	1.65018986420989	0.098904109251397	0.324600738790194	57548.3702877186	0.0029817783613991	100	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA
Otu4739	0.828936414558455	1.98997305902554	1.35518437099228	1.46841500066035	0.141991529362808	NA	57548.3702877186	0.00144041683615732	100	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	uncultured
Otu370	25.3727078122599	1.98371546830009	0.620835367771639	3.19523592127206	0.0013971657930142	0.0211366107148303	57548.3702877186	0.0440893594126238	100	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured	NA
Otu1485	1.13410580108961	1.96562093047288	1.18248029989933	1.66228640818814	0.0964553617174282	NA	57548.3702877186	0.00197070011786527	100	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	NA
Otu2321	1.28480766608983	1.95792175114256	1.20984679477359	1.61832205499124	0.105593210049331	NA	57548.3702877186	0.00223257002703344	100	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella
Otu3419	3.94113306190839	1.95482933593335	0.721827098572829	2.70816839627989	0.00676556843701967	0.0618865950052962	57548.3702877186	0.0068483834419712	100	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	NA	NA
Otu5850	1.00297534511176	1.94776184793281	1.26114530952472	1.54443887886865	0.122482047503805	NA	57548.3702877186	0.0017428388329631	100	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	cvE6	NA
Otu2451	0.818575596463816	1.94665567137736	1.42153944884193	1.3693996835355	0.170874373135571	NA	57548.3702877186	0.00142241316716923	100	Bacteria	NA	NA	NA	NA	NA
Otu2096	2.68493375608247	1.94287596640991	1.18569683967137	1.63859420165816	0.10129780072806	0.325698650842263	57548.3702877186	0.00466552526623931	100	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	NA
Otu625	10.8397051665449	1.93974307130063	0.76359721710938	2.54026995887122	0.011076693430047	0.0829577942390867	57548.3702877186	0.018835816048918	100	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Pajaroellobacter
Otu962	1.52499142442164	1.9304988863746	1.24228868016456	1.5539857339108	0.120187819593589	0.360029165165781	57548.3702877186	0.00264992981868522	100	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
Otu252	29.9033650181586	1.93008833932115	0.867299360029008	2.22540039607154	0.0260543709810026	0.148164615699196	57548.3702877186	0.051962140489216	100	Bacteria	WPS-2	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
Otu7255	3.21561515508068	1.9287644887107	0.791078642084386	2.43814506687813	0.0147628482724395	0.0989781872811285	57548.3702877186	0.00558767370649057	100	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Acidipila
Otu2120	1.80530147038373	1.92551342688973	1.17361554608642	1.640667962614	0.100866358751755	0.32538957003312	57548.3702877186	0.00313701580315472	100	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Bryobacter
Otu2092	2.98432914330692	1.92533345703581	1.0936960372546	1.76039172809731	0.0783414109018345	0.289336040263426	57548.3702877186	0.00518577525025727	100	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	NA
Otu4639	1.57077080945239	1.91950024200457	0.988260440559659	1.94230201192466	0.0521005496112858	0.22397728006288	57548.3702877186	0.00272947922173845	100	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	NA
Otu2883	1.28028585362557	1.90565523098559	1.12034072798001	1.70096041623115	0.0889504204200924	NA	57548.3702877186	0.00222471261518729	100	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	NA
Otu732	11.7846259579909	1.89177200520309	0.941357434983864	2.00962135624447	0.0444712791820667	0.201593773793825	57548.3702877186	0.0204777753028844	100	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	NA
Otu1823	2.94694300898564	1.89122209118096	1.08609617783304	1.74130259343541	0.0816305518602405	0.293223900137241	57548.3702877186	0.0051208105359928	100	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	uncultured	NA
Otu2672	1.33829663414844	1.88367368891507	1.43195272299855	1.31545801663801	0.188356018257557	NA	57548.3702877186	0.00232551613096513	100	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	AKYH767	NA
Otu2797	2.39804436286714	1.8809206033071	1.35806475152757	1.38500067923228	0.166052259672383	0.425960144376982	57548.3702877186	0.00416700655618549	100	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	NA
Otu3892	3.12822381676778	1.87981375351229	0.92767339901958	2.02637453601557	0.0427264183538306	0.198418548328129	57548.3702877186	0.00543581651596374	100	Bacteria	NA	NA	NA	NA	NA
Otu2089	1.70314703219186	1.8759812347715	1.03785235495724	1.80756080169881	0.0706748836113614	0.269861407916625	57548.3702877186	0.00295950523651115	100	Bacteria	Dependentiae	Babeliae	Babeliales	NA	NA
Otu4047	0.870543188303203	1.87238107941645	1.3487624813942	1.38822150322642	0.16506960634338	NA	57548.3702877186	0.00151271562331103	100	Bacteria	NA	NA	NA	NA	NA
Otu822	1.93677777703649	1.86861211895733	1.20452500100114	1.55132696905771	0.12082334695394	0.360029165165781	57548.3702877186	0.00336547806193882	100	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	uncultured
Otu240	32.0340537979345	1.85916532115306	0.647388478902591	2.87179241172873	0.00408150981851	0.0439833934780073	57548.3702877186	0.0556645716251862	100	Bacteria	Acidobacteria	Acidobacteriia	Subgroup 13	uncultured bacterium	uncultured bacterium
Otu1778	1.53894937252507	1.85904308194361	1.09433710626901	1.69878465355321	0.0893597662060135	0.306387044040673	57548.3702877186	0.00267418410778783	100	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA
Otu3029	1.11210089461714	1.8536432207957	1.12181744043412	1.65235728558327	0.0984617376710163	NA	57548.3702877186	0.00193246288132416	100	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	NA	NA
Otu1728	1.12022714508492	1.85145217938792	1.26583519053351	1.46263288715145	0.143567859277038	NA	57548.3702877186	0.00194658361215832	100	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	NA
Otu1154	72.935814514556	1.84996905278587	0.658345510344681	2.81002759754116	0.00495372520463932	0.0497480488636119	57548.3702877186	0.126738279728698	100	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Candidatus Solibacter
Otu1067	1.90352528483057	1.84668892024939	1.05925269347304	1.74338845832389	0.0812657829926678	0.292952369155308	57548.3702877186	0.00330769624806699	100	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
Otu985	5.86696879751813	1.84285727500651	0.8186042824635	2.25121870784823	0.0243716885746139	0.141844069431252	57548.3702877186	0.010194847861348	100	Bacteria	WPS-2	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
